Earnings Date,EPS Estimate,Reported EPS,Surprise(%),symbol
2025-06-26 12:00:00-04:00,5.57,,,NVDA
2025-05-20 16:00:00-04:00,,,,NVDA
2025-02-19 16:00:00-05:00,,,,NVDA
2024-11-19 16:00:00-05:00,,,,NVDA
2024-08-21 06:00:00-04:00,5.83,,,NVDA
2024-06-26 12:00:00-04:00,5.59,,,NVDA
2024-06-05 15:00:00-04:00,,,,NVDA
2024-06-02 07:00:00-04:00,5.15,5.64,0.0951,NVDA
2024-05-22 16:00:00-04:00,5.59,6.12,0.0954,NVDA
2024-03-19 11:00:00-04:00,4.63,5.16,0.11449999999999999,NVDA
2024-03-18 06:00:00-04:00,4.63,5.16,0.11449999999999999,NVDA
2024-03-05 09:00:00-05:00,4.63,5.16,0.11449999999999999,NVDA
2024-03-04 13:00:00-05:00,4.63,5.16,0.11449999999999999,NVDA
2024-02-28 21:00:00-05:00,4.63,5.16,0.11449999999999999,NVDA
2024-02-28 12:00:00-05:00,4.63,5.16,0.11449999999999999,NVDA
2024-02-21 16:00:00-05:00,4.64,5.16,0.11320000000000001,NVDA
2024-02-15 13:00:00-05:00,4.63,5.16,0.11449999999999999,NVDA
2024-02-15 12:00:00-05:00,4.63,5.16,0.11449999999999999,NVDA
2023-11-21 16:00:00-05:00,3.37,4.02,0.19210000000000002,NVDA
2023-08-23 16:00:00-04:00,2.09,2.7,0.29410000000000003,NVDA
2023-05-24 16:00:00-04:00,0.92,1.09,0.1857,NVDA
2023-02-22 16:00:00-05:00,0.81,0.88,0.08750000000000001,NVDA
2022-11-16 16:00:00-05:00,0.69,0.58,-0.16469999999999999,NVDA
2022-08-24 16:00:00-04:00,1.26,0.51,-0.5938,NVDA
2022-05-25 16:00:00-04:00,1.29,1.36,0.051500000000000004,NVDA
2022-02-16 16:00:00-05:00,1.22,1.32,0.0799,NVDA
2021-11-17 16:00:00-05:00,1.11,1.17,0.0576,NVDA
2021-08-18 16:00:00-04:00,1.01,1.04,0.025099999999999997,NVDA
2021-05-26 16:00:00-04:00,0.82,0.92,0.11460000000000001,NVDA
2021-02-24 16:00:00-05:00,0.7,0.78,0.1033,NVDA
2020-11-18 16:00:00-05:00,0.64,0.73,0.131,NVDA
2020-08-19 16:00:00-04:00,0.49,0.55,0.1079,NVDA
2020-05-21 16:00:00-04:00,0.42,0.45,0.0675,NVDA
2020-02-13 16:00:00-05:00,0.42,0.47,0.13240000000000002,NVDA
2019-11-14 16:00:00-05:00,0.39,0.45,0.1307,NVDA
2019-08-15 16:00:00-04:00,0.29,0.31,0.08289999999999999,NVDA
2019-05-16 16:00:00-04:00,0.2,0.22,0.08689999999999999,NVDA
2019-02-14 16:00:00-05:00,0.19,0.2,0.06480000000000001,NVDA
2018-11-15 16:00:00-05:00,0.47,0.46,-0.013200000000000002,NVDA
2018-08-16 16:00:00-04:00,0.44,0.49,0.098,NVDA
2018-05-10 16:00:00-04:00,0.4,0.51,0.2867,NVDA
2018-02-08 16:00:00-05:00,0.29,0.39,0.3437,NVDA
2017-11-09 16:00:00-05:00,0.24,0.33,0.4083,NVDA
2017-08-10 16:00:00-04:00,0.17,0.23,0.3184,NVDA
2017-05-09 16:00:00-04:00,0.16,0.2,0.1986,NVDA
2017-02-09 16:00:00-05:00,0.21,0.25,0.1962,NVDA
2016-11-10 16:00:00-05:00,0.14,0.21,0.47270000000000006,NVDA
2016-08-11 16:00:00-04:00,0.09,0.1,0.0704,NVDA
2016-05-12 16:00:00-04:00,0.08,0.08,0.0385,NVDA
2016-02-17 16:00:00-05:00,0.08,0.09,0.10039999999999999,NVDA
2015-11-05 16:00:00-05:00,0.06,0.11,0.7513,NVDA
2015-08-06 16:00:00-04:00,0.03,0.04,0.6792,NVDA
2015-05-07 16:00:00-04:00,0.06,0.06,-0.0732,NVDA
2015-02-11 16:00:00-05:00,0.07,0.09,0.2262,NVDA
2014-11-06 16:00:00-05:00,0.07,0.08,0.08789999999999999,NVDA
2014-08-07 00:00:00-04:00,0.05,0.06,0.0917,NVDA
2014-05-06 00:00:00-04:00,0.04,0.05,0.2181,NVDA
2014-02-12 00:00:00-05:00,0.05,0.06,0.326,NVDA
2013-11-07 00:00:00-05:00,0.05,0.05,0.0252,NVDA
2013-08-08 00:00:00-04:00,0.03,0.04,0.2438,NVDA
2013-05-09 00:00:00-04:00,0.02,0.03,0.3369,NVDA
2013-02-13 00:00:00-05:00,0.06,0.07,0.1818,NVDA
2012-11-08 00:00:00-05:00,0.07,0.08,0.1167,NVDA
2012-08-09 00:00:00-04:00,0.04,0.06,0.555,NVDA
2012-05-11 00:00:00-04:00,0.02,0.03,0.046900000000000004,NVDA
2012-02-15 00:00:00-05:00,0.05,0.05,0.0044,NVDA
2011-11-10 00:00:00-05:00,0.06,0.07,0.11660000000000001,NVDA
2011-08-11 00:00:00-04:00,0.06,0.06,-0.0026000000000000003,NVDA
2011-05-12 00:00:00-04:00,0.05,0.06,0.1408,NVDA
2011-02-16 00:00:00-05:00,0.04,0.06,0.4535,NVDA
2010-11-11 00:00:00-05:00,0.04,0.04,0.0602,NVDA
2010-08-12 00:00:00-04:00,0.03,0.01,-0.7199,NVDA
2010-05-13 00:00:00-04:00,0.05,0.06,0.08900000000000001,NVDA
2010-02-17 00:00:00-05:00,0.05,0.06,0.1611,NVDA
2009-11-05 00:00:00-05:00,0.03,0.05,0.8555,NVDA
2009-08-06 00:00:00-04:00,-0.01,0.02,4.0864,NVDA
2009-05-07 00:00:00-04:00,-0.03,-0.02,0.1532,NVDA
2009-02-10 00:00:00-05:00,-0.02,-0.04,-1.0279,NVDA
2008-11-06 00:00:00-05:00,0.03,0.05,0.6920000000000001,NVDA
2008-08-12 00:00:00-04:00,0.03,0.03,0.1285,NVDA
2008-05-08 00:00:00-04:00,0.1,0.09,-0.06269999999999999,NVDA
2008-02-13 00:00:00-05:00,0.12,0.12,0.0468,NVDA
2007-11-08 00:00:00-05:00,0.09,0.11,0.2024,NVDA
2007-08-09 00:00:00-04:00,0.07,0.09,0.1937,NVDA
2007-05-10 00:00:00-04:00,0.06,0.07,0.07940000000000001,NVDA
2007-02-13 00:00:00-05:00,0.07,0.09,0.24760000000000001,NVDA
2006-11-09 00:00:00-05:00,0.06,0.07,0.12710000000000002,NVDA
2006-05-11 00:00:00-04:00,0.05,0.05,0.042,NVDA
2006-02-16 00:00:00-05:00,0.04,0.04,0.0834,NVDA
2005-11-09 00:00:00-05:00,0.03,0.04,0.1605,NVDA
2005-08-11 00:00:00-04:00,0.03,0.03,0.2147,NVDA
2005-05-12 00:00:00-04:00,0.02,0.06,1.4187,NVDA
2005-02-17 00:00:00-05:00,0.02,0.03,0.7729,NVDA
2004-11-04 00:00:00-05:00,0.01,0.02,1.5974000000000002,NVDA
2004-08-05 00:00:00-04:00,0.01,0.02,0.8604,NVDA
2004-05-06 00:00:00-04:00,0.01,0.02,1.3641,NVDA
2004-02-12 00:00:00-05:00,0.01,0.03,1.7871000000000001,NVDA
2003-11-06 00:00:00-05:00,0.01,0.01,0.1908,NVDA
2003-08-07 00:00:00-04:00,0.01,0.01,-0.26780000000000004,NVDA
2003-05-08 00:00:00-04:00,0.01,0.01,0.13640000000000002,NVDA
2003-02-13 00:00:00-05:00,,0.01,1.5151,NVDA
2002-11-07 00:00:00-05:00,0.01,0.01,-0.20379999999999998,NVDA
2002-08-15 00:00:00-04:00,0.01,0.01,-0.0645,NVDA
2002-05-22 00:00:00-04:00,0.04,0.04,0.015600000000000001,NVDA
2002-02-14 00:00:00-05:00,0.03,0.04,0.2688,NVDA
2001-11-08 00:00:00-05:00,0.02,0.02,0.1915,NVDA
2001-08-14 00:00:00-04:00,0.02,0.02,0.0492,NVDA
2001-05-22 00:00:00-04:00,0.02,0.02,0.0196,NVDA
2001-02-15 00:00:00-05:00,0.02,,-0.8745999999999999,NVDA
2000-11-09 00:00:00-05:00,0.01,0.01,0.09380000000000001,NVDA
2000-08-21 00:00:00-04:00,0.01,0.01,0.0776,NVDA
2000-05-16 00:00:00-04:00,0.01,0.01,0.1968,NVDA
2000-02-15 00:00:00-05:00,0.01,0.01,0.0942,NVDA
1999-11-18 00:00:00-05:00,,0.01,0.24280000000000002,NVDA
1999-08-18 00:00:00-04:00,,,0.0449,NVDA
1999-05-18 00:00:00-04:00,,,0.33130000000000004,NVDA
2025-06-13 16:00:00-04:00,,,,TSLA
2025-04-21 16:00:00-04:00,,,,TSLA
2025-01-22 16:00:00-05:00,,,,TSLA
2024-10-16 06:00:00-04:00,,,,TSLA
2024-07-17 06:00:00-04:00,0.55,,,TSLA
2024-06-13 16:00:00-04:00,,,,TSLA
2024-04-23 16:00:00-04:00,0.51,0.45,-0.1204,TSLA
2024-01-24 16:00:00-05:00,0.74,0.71,-0.043899999999999995,TSLA
2023-10-18 16:00:00-04:00,0.72,0.66,-0.0825,TSLA
2023-07-19 16:00:00-04:00,0.82,0.91,0.1063,TSLA
2023-04-19 16:00:00-04:00,0.85,0.85,-0.0004,TSLA
2023-01-25 16:00:00-05:00,1.13,1.19,0.0555,TSLA
2022-10-19 16:00:00-04:00,0.99,1.05,0.057,TSLA
2022-07-20 16:00:00-04:00,0.6,0.76,0.2511,TSLA
2022-04-20 16:00:00-04:00,0.75,1.07,0.42560000000000003,TSLA
2022-01-26 16:00:00-05:00,0.79,0.85,0.07150000000000001,TSLA
2021-10-20 16:00:00-04:00,0.53,0.62,0.1668,TSLA
2021-07-26 16:00:00-04:00,0.33,0.48,0.47700000000000004,TSLA
2021-04-26 16:00:00-04:00,0.26,0.31,0.1777,TSLA
2021-01-27 16:00:00-05:00,0.34,0.27,-0.2252,TSLA
2020-10-21 16:00:00-04:00,0.19,0.25,0.3072,TSLA
2020-07-22 16:00:00-04:00,-0.01,0.15,12.8347,TSLA
2020-04-29 16:00:00-04:00,-0.02,0.08,4.5681,TSLA
2020-01-29 16:00:00-05:00,0.11,0.14,0.1949,TSLA
2019-10-23 16:00:00-04:00,-0.03,0.12,5.4270000000000005,TSLA
2019-07-24 16:00:00-04:00,-0.02,-0.07,-2.1414,TSLA
2019-04-24 17:00:00-04:00,-0.05,-0.12,-1.5804,TSLA
2019-01-30 16:00:00-05:00,0.08,0.13,0.693,TSLA
2018-10-24 16:00:00-04:00,0.03,0.19,5.3036,TSLA
2018-08-01 16:00:00-04:00,-0.2,-0.16,0.1834,TSLA
2018-05-02 16:00:00-04:00,-0.24,-0.22,0.0647,TSLA
2018-02-07 16:00:00-05:00,-0.21,-0.2,0.0169,TSLA
2017-11-01 16:00:00-04:00,-0.15,-0.19,-0.325,TSLA
2017-08-02 16:00:00-04:00,-0.12,-0.09,0.27030000000000004,TSLA
2017-05-03 16:00:00-04:00,-0.09,-0.09,0.0074,TSLA
2017-02-22 14:00:00-05:00,-0.21,-0.14,0.33649999999999997,TSLA
2016-10-26 16:00:00-04:00,-0.08,0.14,2.6905,TSLA
2016-08-03 16:00:00-04:00,-0.04,-0.07,-0.7667,TSLA
2016-05-04 16:00:00-04:00,-0.05,-0.04,0.1739,TSLA
2016-02-10 16:00:00-05:00,0.1,-0.87,-10.039,TSLA
2015-11-03 16:00:00-05:00,-0.04,-0.04,0.0168,TSLA
2015-08-05 16:00:00-04:00,,-0.03,-17.0,TSLA
2015-05-06 16:00:00-04:00,-0.5,-0.36,0.2771,TSLA
2015-02-11 16:00:00-05:00,0.02,-0.01,-1.4065,TSLA
2014-11-05 17:00:00-05:00,,,0.9851000000000001,TSLA
2014-07-31 00:00:00-04:00,,0.01,3.2012,TSLA
2014-05-07 00:00:00-04:00,,0.01,1.4024,TSLA
2014-02-19 00:00:00-05:00,0.01,0.02,0.5954,TSLA
2013-11-05 00:00:00-05:00,0.01,0.01,0.0989,TSLA
2013-08-07 00:00:00-04:00,-0.01,0.01,2.1828,TSLA
2013-05-08 00:00:00-04:00,,0.01,1.7119,TSLA
2013-02-20 00:00:00-05:00,-0.04,-0.04,-0.2334,TSLA
2012-11-05 00:00:00-05:00,-0.06,-0.06,-0.0201,TSLA
2012-07-25 00:00:00-04:00,-0.06,-0.06,0.0375,TSLA
2012-05-09 00:00:00-04:00,-0.05,-0.05,-0.1015,TSLA
2012-02-15 00:00:00-05:00,-0.04,-0.05,-0.10310000000000001,TSLA
2011-11-02 00:00:00-04:00,-0.04,-0.04,0.0638,TSLA
2011-08-03 00:00:00-04:00,-0.03,-0.04,-0.0481,TSLA
2011-05-04 00:00:00-04:00,-0.03,-0.03,0.1456,TSLA
2011-02-15 00:00:00-05:00,-0.03,-0.03,0.0563,TSLA
2010-11-09 00:00:00-05:00,-0.03,-0.02,0.1443,TSLA
2025-04-23 16:00:00-04:00,,,,MSFT
2025-01-28 16:00:00-05:00,,,,MSFT
2024-12-06 11:00:00-05:00,,,,MSFT
2024-10-22 06:00:00-04:00,,,,MSFT
2024-07-23 06:00:00-04:00,2.7,,,MSFT
2024-06-06 13:00:00-04:00,,,,MSFT
2024-05-29 13:00:00-04:00,2.6,2.71,0.042300000000000004,MSFT
2024-05-21 08:00:00-04:00,2.6,2.71,0.042300000000000004,MSFT
2024-04-25 16:00:00-04:00,2.82,2.94,0.0432,MSFT
2024-03-06 18:00:00-05:00,2.78,2.93,0.054000000000000006,MSFT
2024-01-30 16:00:00-05:00,2.78,2.93,0.0534,MSFT
2023-10-24 16:00:00-04:00,2.65,2.99,0.127,MSFT
2023-07-25 16:00:00-04:00,2.55,2.69,0.054900000000000004,MSFT
2023-04-25 16:00:00-04:00,2.23,2.45,0.0981,MSFT
2023-01-24 16:00:00-05:00,2.29,2.32,0.010900000000000002,MSFT
2022-10-25 16:00:00-04:00,2.3,2.35,0.020499999999999997,MSFT
2022-07-26 16:00:00-04:00,2.29,2.23,-0.027400000000000004,MSFT
2022-04-26 16:00:00-04:00,2.19,2.22,0.016,MSFT
2022-01-25 16:00:00-05:00,2.31,2.48,0.0725,MSFT
2021-10-26 16:00:00-04:00,2.07,2.27,0.0941,MSFT
2021-07-27 16:00:00-04:00,1.92,2.17,0.1326,MSFT
2021-04-27 16:00:00-04:00,1.78,1.95,0.09630000000000001,MSFT
2021-01-26 16:00:00-05:00,1.64,2.03,0.23690000000000003,MSFT
2020-10-27 16:00:00-04:00,1.54,1.82,0.1791,MSFT
2020-07-22 16:00:00-04:00,1.34,1.46,0.08720000000000001,MSFT
2020-04-29 16:00:00-04:00,1.26,1.4,0.107,MSFT
2020-01-29 16:00:00-05:00,1.32,1.51,0.1449,MSFT
2019-10-23 16:00:00-04:00,1.25,1.38,0.10830000000000001,MSFT
2019-07-18 16:00:00-04:00,1.21,1.37,0.1295,MSFT
2019-04-24 16:00:00-04:00,1.0,1.14,0.14150000000000001,MSFT
2019-01-30 16:00:00-05:00,1.09,1.1,0.006999999999999999,MSFT
2018-10-24 16:00:00-04:00,0.96,1.14,0.1837,MSFT
2018-07-19 16:00:00-04:00,1.08,1.13,0.050199999999999995,MSFT
2018-04-26 16:00:00-04:00,0.85,0.95,0.1186,MSFT
2018-01-31 16:00:00-05:00,0.86,0.96,0.11,MSFT
2017-10-26 16:00:00-04:00,0.72,0.84,0.1655,MSFT
