uuid,title,publisher,link,providerPublishTime,type,thumbnail,relatedTickers,symbol
8650056d-ce4d-3025-854e-75b130388db6,Elon Musk Confirms Diverting Nvidia AI Chips Away From Tesla,The Wall Street Journal,https://finance.yahoo.com/m/8650056d-ce4d-3025-854e-75b130388db6/elon-musk-confirms-diverting.html,1717567500,STORY,"{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/IHT4fk7LtzK_cqjD0J6OQw--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/wsj.com/d165c0ea547d4a85476d2e0c60486ad1"", ""width"": 1280, ""height"": 640, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/CI1es02g1LsvznZfdRmjmA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/wsj.com/d165c0ea547d4a85476d2e0c60486ad1"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}","[""TSLA"", ""NVDA""]",NVDA
7797077f-1297-3e97-a8e9-293609e7cef3,Dow Jones Futures Await Key Economic Data; Elon Musk Diverts AI Chips From Tesla; Nvidia Lacks Coattails,Investor's Business Daily,https://finance.yahoo.com/m/7797077f-1297-3e97-a8e9-293609e7cef3/dow-jones-futures-await-key.html,1717554083,STORY,"{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/0HbwEbHltZuFDvR9i11ojw--~B/aD01NjM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/c6d64079321d20f2fbc7507bf78b6e9d"", ""width"": 1000, ""height"": 563, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/49cHkrM8S_c.G.IqPGVzSw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/c6d64079321d20f2fbc7507bf78b6e9d"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}","[""NVDA"", ""TSLA"", ""COMP"", ""^DJI"", ""^GSPC"", ""CRWD"", ""^RUT"", ""HPE""]",NVDA
1691fa79-e341-3716-98b3-ac39897d773f,Samsung Stock Gains as Nvidia Works to Certify Its HBM Chips,Bloomberg,https://finance.yahoo.com/news/samsung-stock-gains-nvidia-works-001208952.html,1717551203,STORY,"{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/utcw1mXGSVQMR1eYo.FP4A--~B/aD02NzU7dz0xMjAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/bloomberg_markets_842/df313a2788e17639ebdae4ae2647bf81"", ""width"": 1200, ""height"": 675, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/tq5pHVdqadAcINT8aO8ZBw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/bloomberg_markets_842/df313a2788e17639ebdae4ae2647bf81"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}","[""NVDA"", ""SSNLF"", ""000660.KS""]",NVDA
53347f28-a87d-31ed-8a3d-67bed603c36e,Time to Buy the Post Earnings Dip in Dell Technologies (DELL) Stock,Zacks,https://finance.yahoo.com/news/time-buy-post-earnings-dip-232900274.html,1717543740,STORY,"{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/xEDmP.ep585M7Q7SN_IkQw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/c1cd358e97afad5e5afc22d86c6e3093"", ""width"": 635, ""height"": 400, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/TRxs7q7oR3UarIiQ5wkPxA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/c1cd358e97afad5e5afc22d86c6e3093"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}","[""DELL"", ""NVDA""]",NVDA
074e6119-893e-39f3-b00c-bf467fb660e7,"Exclusive-Chinese AI chip firms downgrading designs to secure TSMC production, sources say",Reuters,https://finance.yahoo.com/news/exclusive-chinese-ai-chip-firms-230303523.html,1717542183,STORY,"{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/rZTV5mxdmlerX23JxkV9Lg--~B/aD01MzQ7dz04MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/reuters-finance.com/2274046cf058aeb77efb8df5507b6d51"", ""width"": 800, ""height"": 534, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/TGW_GP2mezyWCGutKjXzzA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/reuters-finance.com/2274046cf058aeb77efb8df5507b6d51"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}","[""TSM"", ""NVDA""]",NVDA
bd4e6817-c198-3e3f-ba2f-f5f71305b17b,Musk Gives Explanation for Why He Diverted Chips From Tesla to X,Bloomberg,https://finance.yahoo.com/news/musk-gives-explanation-why-chips-203151846.html,1717533111,STORY,"{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/1efJFeAdDZZ5qUngJGB.zA--~B/aD0xMzM0O3c9MjAwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/bloomberg_technology_68/1d141355ec0e996e238d2ade7eac0005"", ""width"": 2000, ""height"": 1334, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/_J8JlYQGs84f8hzuSyNZ7A--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/bloomberg_technology_68/1d141355ec0e996e238d2ade7eac0005"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}","[""TSLA"", ""NVDA""]",NVDA
ce359132-d014-35fe-adc7-6d732e279693,Intel To Undercut Rivals On AI Accelerator Pricing,Investor's Business Daily,https://finance.yahoo.com/m/ce359132-d014-35fe-adc7-6d732e279693/intel-to-undercut-rivals-on.html,1717532893,STORY,"{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/Eo8QlD0r747a6xzexWsfhA--~B/aD01MTE7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/398b4f34e5f25c41d17d11f67611a544"", ""width"": 1000, ""height"": 511, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/klE2ndwLORT4IRSXkfkF0A--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/398b4f34e5f25c41d17d11f67611a544"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}","[""NVDA"", ""INTC""]",NVDA
b6c4f55f-0e9f-3d33-b4a3-f16c03741d36,"Dow Jones, Other Indexes Close Near Session Highs; Cruise Lines Sail Higher While Nvidia Hits Record Highs",Investor's Business Daily,https://finance.yahoo.com/m/b6c4f55f-0e9f-3d33-b4a3-f16c03741d36/dow-jones%2C-other-indexes.html,1717532823,STORY,"{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/WjXtDiihkJmRBBO6QdRY6g--~B/aD01NjM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/088ed95138caca82aca3e2b370a9fda3"", ""width"": 1000, ""height"": 563, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/7Aa6PpcT5_yTX95saWiirw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/088ed95138caca82aca3e2b370a9fda3"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}","[""NVDA"", ""^DJI"", ""^GSPC"", ""TSLA""]",NVDA
8650056d-ce4d-3025-854e-75b130388db6,Elon Musk Confirms Diverting Nvidia AI Chips Away From Tesla,The Wall Street Journal,https://finance.yahoo.com/m/8650056d-ce4d-3025-854e-75b130388db6/elon-musk-confirms-diverting.html,1717567500,STORY,"{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/IHT4fk7LtzK_cqjD0J6OQw--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/wsj.com/d165c0ea547d4a85476d2e0c60486ad1"", ""width"": 1280, ""height"": 640, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/CI1es02g1LsvznZfdRmjmA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/wsj.com/d165c0ea547d4a85476d2e0c60486ad1"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}","[""TSLA"", ""NVDA""]",TSLA
7797077f-1297-3e97-a8e9-293609e7cef3,Dow Jones Futures Await Key Economic Data; Elon Musk Diverts AI Chips From Tesla; Nvidia Lacks Coattails,Investor's Business Daily,https://finance.yahoo.com/m/7797077f-1297-3e97-a8e9-293609e7cef3/dow-jones-futures-await-key.html,1717554083,STORY,"{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/0HbwEbHltZuFDvR9i11ojw--~B/aD01NjM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/c6d64079321d20f2fbc7507bf78b6e9d"", ""width"": 1000, ""height"": 563, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/49cHkrM8S_c.G.IqPGVzSw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/c6d64079321d20f2fbc7507bf78b6e9d"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}","[""NVDA"", ""TSLA"", ""COMP"", ""^DJI"", ""^GSPC"", ""CRWD"", ""^RUT"", ""HPE""]",TSLA
