index,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,symbol,Average Dilution Earnings,Otherunder Preferred Stock Dividend,Minority Interests,Write Off,Gain On Sale Of Security,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Earnings From Equity Interest Net Of Tax,Other Operating Expenses,Total Other Finance Cost,Earnings From Equity Interest
2024-04-30,0.0,0.139,17753000000.0,,,14881000000.0,410000000.0,5638000000.0,17753000000.0,17343000000.0,295000000.0,64000000.0,359000000.0,14881000000.0,14881000000.0,9135000000.0,16909000000.0,2489000000.0,2462000000.0,5.98,6.04,14881000000.0,14881000000.0,14881000000.0,14881000000.0,14881000000.0,2398000000.0,17279000000.0,75000000.0,75000000.0,,,295000000.0,64000000.0,359000000.0,16909000000.0,3497000000.0,2720000000.0,777000000.0,20406000000.0,5638000000.0,26044000000.0,26044000000.0,NVDA,,,,,,,,,,,,
2024-01-31,0.0,0.129094,14556000000.0,0.0,0.0,12285000000.0,387000000.0,5312000000.0,14556000000.0,14169000000.0,231000000.0,63000000.0,294000000.0,12285000000.0,12285000000.0,8489000000.0,13614000000.0,,,,,12285000000.0,12285000000.0,12285000000.0,12285000000.0,12285000000.0,1821000000.0,14106000000.0,261000000.0,261000000.0,0.0,0.0,231000000.0,63000000.0,294000000.0,13614000000.0,3177000000.0,2465000000.0,712000000.0,16791000000.0,5312000000.0,22103000000.0,22103000000.0,NVDA,,,,,,,,,,,,
2023-10-31,0.0,0.122,10957000000.0,0.0,0.0,9243000000.0,372000000.0,4720000000.0,10957000000.0,10585000000.0,171000000.0,63000000.0,234000000.0,9243000000.0,9243000000.0,7703000000.0,10417000000.0,2494000000.0,2468000000.0,3.71,3.75,9243000000.0,9243000000.0,9243000000.0,9243000000.0,9243000000.0,1279000000.0,10522000000.0,-66000000.0,-66000000.0,0.0,0.0,171000000.0,63000000.0,234000000.0,10417000000.0,2983000000.0,2294000000.0,689000000.0,13400000000.0,4720000000.0,18120000000.0,18120000000.0,NVDA,,,,,,,,,,,,
2023-07-31,0.0,0.114,7411000000.0,0.0,0.0,6188000000.0,365000000.0,4045000000.0,7411000000.0,7046000000.0,122000000.0,65000000.0,187000000.0,6188000000.0,6188000000.0,6707000000.0,6800000000.0,2499000000.0,2473000000.0,2.48,2.5,6188000000.0,6188000000.0,6188000000.0,6188000000.0,6188000000.0,793000000.0,6981000000.0,59000000.0,59000000.0,0.0,0.0,122000000.0,65000000.0,187000000.0,6800000000.0,2662000000.0,2040000000.0,622000000.0,9462000000.0,4045000000.0,13507000000.0,13507000000.0,NVDA,,,,,,,,,,,,
2023-04-30,0.0,0.075,2659000000.0,0.0,0.0,2043000000.0,384000000.0,2544000000.0,2659000000.0,2275000000.0,84000000.0,66000000.0,150000000.0,2043000000.0,2043000000.0,5052000000.0,2140000000.0,2490000000.0,2470000000.0,0.82,0.83,2043000000.0,2043000000.0,2043000000.0,2043000000.0,2043000000.0,166000000.0,2209000000.0,-15000000.0,-15000000.0,0.0,0.0,84000000.0,66000000.0,150000000.0,2140000000.0,2508000000.0,1875000000.0,633000000.0,4648000000.0,2544000000.0,7192000000.0,7192000000.0,NVDA,,,,,,,,,,,,
2023-01-31,,,,0.0,0.0,,,,,,,,,,,,,2477000000.0,2464000000.0,0.57,0.57,,,,,,,,,,0.0,0.0,,,,,,,,,,,,NVDA,,,,,,,,,,,,
2024-03-31,0.0,0.26,2875000000.0,,,1129000000.0,1246000000.0,17605000000.0,2875000000.0,1629000000.0,274000000.0,76000000.0,350000000.0,1129000000.0,1129000000.0,20130000000.0,1171000000.0,3484000000.0,3186000000.0,0.34,0.37,1171000000.0,1171000000.0,1129000000.0,1144000000.0,1144000000.0,409000000.0,1553000000.0,108000000.0,108000000.0,,,274000000.0,76000000.0,350000000.0,1171000000.0,2525000000.0,1151000000.0,1374000000.0,3696000000.0,17605000000.0,21301000000.0,21301000000.0,TSLA,,-42000000.0,-15000000.0,,,,,,,,,
2023-12-31,0.0,0.21,3484000000.0,0.0,0.0,7930000000.0,1232000000.0,20729000000.0,3484000000.0,2252000000.0,272000000.0,61000000.0,333000000.0,7930000000.0,7930000000.0,23103000000.0,2064000000.0,3492000000.0,3181000000.0,2.27,2.49,7927000000.0,7927000000.0,7930000000.0,7943000000.0,7943000000.0,-5752000000.0,2191000000.0,-145000000.0,-145000000.0,0.0,0.0,272000000.0,61000000.0,333000000.0,2064000000.0,2374000000.0,1094000000.0,1280000000.0,4438000000.0,20729000000.0,25167000000.0,25167000000.0,TSLA,0.0,,-13000000.0,,,,,,,,,
2023-09-30,0.0,0.08,3318000000.0,0.0,0.0,1853000000.0,1235000000.0,19172000000.0,3318000000.0,2083000000.0,244000000.0,38000000.0,282000000.0,1853000000.0,1853000000.0,21586000000.0,1764000000.0,3493000000.0,3176000000.0,0.53,0.58,1851000000.0,1851000000.0,1853000000.0,1878000000.0,1878000000.0,167000000.0,2045000000.0,37000000.0,37000000.0,0.0,0.0,244000000.0,38000000.0,282000000.0,1764000000.0,2414000000.0,1161000000.0,1253000000.0,4178000000.0,19172000000.0,23350000000.0,23350000000.0,TSLA,0.0,2000000.0,-25000000.0,,,,,,,,,
2023-06-30,0.0,0.11,4119000000.0,0.0,0.0,2703000000.0,1154000000.0,20394000000.0,4119000000.0,2965000000.0,210000000.0,28000000.0,238000000.0,2703000000.0,2703000000.0,22528000000.0,2399000000.0,3478000000.0,3171000000.0,0.78,0.85,2703000000.0,2703000000.0,2703000000.0,2614000000.0,2614000000.0,323000000.0,2937000000.0,328000000.0,328000000.0,0.0,0.0,210000000.0,28000000.0,238000000.0,2399000000.0,2134000000.0,943000000.0,1191000000.0,4533000000.0,20394000000.0,24927000000.0,24927000000.0,TSLA,0.0,0.0,89000000.0,,,,,,,,,
