period,strongBuy,buy,hold,sell,strongSell,symbol
0m,7,14,15,1,1,NVDA
-1m,20,34,4,0,0,NVDA
-2m,19,33,4,0,0,NVDA
-3m,12,21,12,2,0,NVDA
0m,4,4,8,6,1,TSLA
-1m,5,11,23,7,4,TSLA
-2m,5,12,21,6,4,TSLA
-3m,10,16,11,3,2,TSLA
0m,14,13,6,0,1,MSFT
-1m,23,32,3,0,0,MSFT
-2m,23,31,3,0,0,MSFT
-3m,20,27,6,0,0,MSFT
0m,15,28,3,1,0,AMZN
-1m,19,39,2,0,0,AMZN
-2m,18,38,2,0,0,AMZN
-3m,18,37,1,0,0,AMZN
0m,11,21,6,0,0,AAPL
-1m,9,17,14,2,0,AAPL
-2m,10,17,12,2,0,AAPL
-3m,10,24,7,1,0,AAPL
0m,0,0,0,0,0,META
-1m,21,33,7,1,0,META
-2m,20,33,7,2,0,META
-3m,19,32,6,2,0,META
0m,2,3,0,0,0,GOOG
-1m,6,7,3,0,0,GOOG
-2m,6,7,3,0,0,GOOG
-3m,5,4,2,0,0,GOOG
